UID,Episode Title,Resource URL,Overview,Solution,Iframe,Rank,Format,Admonition Title,Admonition Description,Audio URL,Topic
,"MCJ Capital Series: Mark Berryman and Nick Flores, Caprock — MCJ Collective",https://www.mcjcollective.com/my-climate-journey-podcast/caprock,"[2:05] An overview of Caprock[3:07] The roles and collaboration between the client advisory and investment research teams at Caprock[5:38] Caprock's approach to impact, due diligence and monitoring[8:48] The firm's emphasis on privates[18:21] Client demand for deeper and more niche impact investment opportunities[25:19] How Caprock thinks about return profiles[30:51] Criteria for manager and fund selection[34:13] Tracking specialists vs generalists[38:23] Nick and Mark's concerns and what excites them in the climate space[41:35] Caprock's interest in deep tech[45:00] Thoughts on first of its kind (FOAK)[47:31] Evolution of LP base and barriers holding it back[51:31] Continuous learning and knowledge sharing as a key aspect of Caprock's approach to impact investing",Water Distribution Efficiency,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/48f461ac-a9c3-4c9e-8288-207b588d8a60?dark=true&wmode=opaque"" />",,podcast embed,:::MCJ podcast:::,####This is a podcast about X it will tell you Y,https://player.simplecast.com/48f461ac-a9c3-4c9e-8288-207b588d8a60?dark=true&wmode=opaque,None
,Mobilizing Gen Z for Climate Action with Elise Joshi — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/elise-joshi,[03:30]: Elise's personal journey to climate advocacy starting in high school[06:10]: Origins and evolution of Gen-Z for Change during COVID[08:32]: Elise's role growing from member to executive director of Gen-Z for Change[10:04]: Tools and activist techniques used by Gen-Z for Change[13:26]: The viral Stop Willow campaign against Arctic oil drilling[15:20]: Gen-Z for Change's role in amplifying the Stop Willow movement[18:47]: Messaging that resonates most with young people on climate[22:57]: Elise's recounting of the moment she stood up to Biden's Press secretary [26:42]: Critique of Biden climate policy as too focused on carrots vs sticks[31:06]: Hopes for bolder climate platform and Green New Deal in 2024[33:33]: Gen-Z for Change's focus on bottom-up organizing for 2024 elections[34:30]: Distrust of the current system and political candidates among Gen-Z [39:01]: How to support Gen-Z for Change[39:44]: Distinction between 502(c)(3) and 501(c)(4) [41:00]: Open resources created by Elise to educate people on climate issues[42:34]: Parting words on public transit and reducing car dependency,None of the provided tags directly relate to the content mentioned. It would be inappropriate to apply any of these tags as they do,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/c0a97991-908c-49ab-a4d5-f2002f6b163b?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/c0a97991-908c-49ab-a4d5-f2002f6b163b?dark=true&wmode=opaque,None
,Decarbonizing Commercial Real Estate with Lumen Energy — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/lumen,[02:38]: Peter's perspective on addressing climate problems[05:37]: His background in clean energy[14:44]: How he met his Lumen co-founder Dave through the MCJ community[18:22]: Overview of difference in energy billing structures by building type[20:43]: Increasing demands from investors and tenants to decarbonize buildings[28:45]: Key actors in commercial real estate decarbonization[30:00]: Lumen’s customer base[37:32]: Details of Lumen's financial modeling software for buildings[40:05]: Lumen's use of public data to provide initial analysis for customers[41:45]: The company's AutoPPA product for streamlined PPAs across portfolios[47:39]: Lumen's Series A and current priorities,Distributed Solar Photovoltaics,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/b91dfab1-baf4-479c-acb3-8552fecc61f9?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/b91dfab1-baf4-479c-acb3-8552fecc61f9?dark=true&wmode=opaque,Building Retrofitting
,Uber's Road to Sustainability — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/chris-hook,"[4:20] Chris' background and his journey to working at Uber[9:00] Uber's sustainability commitments and company culture[13:20] Challenges of reducing emissions and waste from Uber's platform[16:45] Uber's efforts to make EV adoption more accessible and affordable for drivers, including partnerships with car manufacturers, rental companies, and financing providers[25:04] The Uber Green rider experience[27:17] The importance of charging infrastructure and the need to make it more convenient and affordable for drivers[33:02] Rider incentives[35:27] Sustainability efforts for Uber Eats[29:49] Opportunities for startups to help Uber in their mission",Distributed Energy Storage,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/e7f928f2-22e3-4b65-9dc4-99add547b6c3?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/e7f928f2-22e3-4b65-9dc4-99add547b6c3?dark=true&wmode=opaque,[Electric Cars]
,Illuminating India's Energy Future with Residential Solar — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/solarsquare,"[01:48]: Shreya's journey from fashion tech founder to solar entrepreneur[04:07]: How she learned the ins and outs of the solar industry [07:22]: The evolution and key inflection points of the Indian solar market[11:33]: India's policies for residential solar[13:46]: How India is streamlining processes with a National Solar Portal[16:31]: The permitting process for homeowners with a solar setup[21:50]: Sectors and regions with the highest solar adoption rates[25:43]: How SolarSquare addresses challenges unique to the Indian market, including roof architecture, cyclone risk, and lack of professional solar service providers[28:03]: A deeper dive on SolarSquare's modular prefabricated solar pergolas[35:59]: The emergence of financing options for residential solar in India[43:08]: SolarSquare's staffing and focus on operational excellence over marketing [46:07]: The role of large corporate players in the solar market [48:34]: SolarSquare's financing history[52:02]: How India's economic growth is driving increased electricity consumption and Shreya's vision for the future[55:10]: SolarSquare is hiring!",Distributed Solar Photovoltaics,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/91e7f171-3f26-4708-9820-78d77f316e62?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/91e7f171-3f26-4708-9820-78d77f316e62?dark=true&wmode=opaque,None
,"MCJ Capital Series podcast: Rebecca Carland, Builders Asset Management — MCJ Collective",https://www.mcjcollective.com/my-climate-journey-podcast/rebecca-carland,"Introduction to Builders Vision and its asset management armRebecca's background and journey to impact investingThe role of market forces in driving change and the need for collaborationBuilders Vision's focus areas: renewable energy, sustainable food and agriculture, and healthy oceansThe shift from family office to impact platformBuilders Asset Management's mandate The importance of ESG integration and standardizationThe gap between venture and infrastructure investment and the need for more capital in the missing middleChallenges and opportunities of company net-zero commitmentsThe launch of Builders Vision's inaugural impact report",Renewable Energy,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/50ae0022-9a51-4c90-9e6d-95836ad2b5f0?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/50ae0022-9a51-4c90-9e6d-95836ad2b5f0?dark=true&wmode=opaque,[None]
,Accelerating Climate Solutions in Africa's Startup Ecosystem — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/tobias-ruckstuhl-bim-adisa,"[03:38]: Overview and mission of Beacon Power Services[07:49]: Tobias's background and his work with Persistent[11:21]: Persistent's investments, exits, and locations[13:04]: How Bim and Tobias connected[15:50]: Bim's experience with the fundraising process and growth after Persistent's investment[18:17]: Overview of venture funding and climate tech startups in Africa[23:42]: Breakdown of the capital stack available to African startups[30:41]: Evolution of the venture market and examples of active venture funds investing in African climate tech[33:53]: Geographic hubs of entrepreneurship across Africa [39:14]: Challenges specific to the Francophone Africa market[41:12]: Bim's advice for foreign and local founders building in Africa[43:54]: What sectors are currently booming and Persistent's criteria for evaluating new climate tech sectors[48:52]: Leading climate tech companies in Africa that can inspire founders[51:25]: Balancing urgency and realism in deploying climate solutions at scale[53:31]: Persistent's LP fundraising process and investor priorities",Distributed Energy Storage,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/02d12973-f805-400a-a061-c2b34a0042a7?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/02d12973-f805-400a-a061-c2b34a0042a7?dark=true&wmode=opaque,None
,My Climate Journey Skilled Labor Series Podcast: Weatherizing and Electrifying Your Home — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/david-holtzclaw,"[03:11]: Origin of home energy auditing in the 1980s and creation of ResNet[05:29]: Home Energy Score (HES) for existing homes, Home Energy Rating System (HERS) for new homes[07:23]: ResNet's relationship with BPI (Building Performance Institute)[09:04]: Emergence of the first energy code for new construction, the IECC (International Energy Conservation Code)[11:17]: The impact of high interest rates on the demand for energy audits[14:47]: David’s transition from aerospace and NASA to founding an energy efficiency company[20:43]: An overview of his customer base[24:27]: The main culprits of an energy-inefficient home[29:45]: David's approach to customizing homes during the design process[32:11]: Insights into mechanical ventilation[34:30]: How upfront investments like triple pane windows pay off[38:50]: Why cheaper heat pumps may be pushed over better models with the IRA[42:08]: The impact of politics on state energy efficiency funding[49:22]: Advice and cautions for listeners planning to electrify and weatherize their homes.",Distributed Energy Storage,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/a799799d-0155-43c0-b33a-03333ba1b1fb?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/a799799d-0155-43c0-b33a-03333ba1b1fb?dark=true&wmode=opaque,High-Efficiency Heat Pumps
,"MCJ Capital Series: David Helgason, Transition - My Climate Journey podcast — MCJ Collective",https://www.mcjcollective.com/my-climate-journey-podcast/david-helgason,"[02:43]: Introduction to Transition[05:07]: David's background in the video game industry [07:01]: His journey into climate tech investments, starting with angel investments[10:47]: His decision to focus on climate, and the choice of venture for climate impact[14:07]: Challenges faced by generalist venture firms when investing in climate tech[17:03]: Transition's approach to impact measurement using the Planetary Boundaries framework[19:08]: Risk assessment and capital intensity in Transition's investment process[23:10]: Exploration of the future of climate tech and the potential for every company to be a climate company[26:54]: The role of incumbents and collaboration in the energy transition[28:50]: The challenges and opportunities of working with oil majors[31:59]: The role of individuals in the transition [33:15]: Advice for those interested in working on climate tech problems.Resource Mentioned: Planetary boundaries - Stockholm Resilience Centre",Distributed Energy Storage,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/d377a9a2-5b90-419b-883d-57bc3d397205?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/d377a9a2-5b90-419b-883d-57bc3d397205?dark=true&wmode=opaque,None
,My Climate Journey: Electrifying Everything with Ari Matusiak of Rewiring America — MCJ Collective,https://www.mcjcollective.com/my-climate-journey-podcast/ari-matusiak,"[03:03]: The founding story of Rewiring America[11:51]: Hurdles of electrifying homes[15:58]: Tax credits available to homeowners through the IRA[20:27]: Stackable rebates and tax credits through federal, state and local programs[22:00]: Using Rewiring America's IRA Calculator to estimate benefits[26:40]: Empowering people to electrify their homes and become active community guides[30:50]: Countering the fossil fuel lobby with local storytellers and validators[33:49]: Insights from Rewiring America's Pace of Progress Report on electric product adoption[40:31]: Challenges and solutions to boost EV adoption[43:04]: State of rooftop solar in the Pace of Progress report[44:05]: Why rooftop solar remains essential [46:28]: Electrification options for renters and apartment incentives [50:16]: Ari’s outlook on electrification progress over the next decade",Distributed Solar Photovoltaics,"<iframe allow=""autoplay *; encrypted-media *; fullscreen *; clipboard-write"" frameBorder=""0"" height=""175"" style={{width:'100%', maxWidth:'660px', overflow:'hidden', borderRadius:'10px'}} sandbox=""allow-forms allow-popups allow-same-origin allow-scripts allow-storage-access-by-user-activation allow-top-navigation-by-user-activation"" src=""https://player.simplecast.com/7135b1c8-4f54-4bfd-aa37-9424738d6d56?dark=true&wmode=opaque"" />",,podcast embed,,,https://player.simplecast.com/7135b1c8-4f54-4bfd-aa37-9424738d6d56?dark=true&wmode=opaque,Distributed Solar Photovoltaics
